,image_path,0,1,2,3,4,5,6,7,8,9
0,seg_train/seg_train/buildings\0.jpg,0.9999972581863403,1.3106041762966925e-07,1.7874363322789577e-07,7.618311315127357e-08,1.701847395452205e-06,6.693180125694198e-07,1.4968030981332703e-10,8.657843192372283e-11,6.080525666307679e-11,3.717447183415601e-11
1,seg_train/seg_train/buildings\10006.jpg,0.9958069324493408,1.369415349472547e-05,0.00010276386456098408,4.709765926236287e-05,1.020008085106383e-06,0.004028426017612219,3.5123988162411024e-09,2.5674771197969903e-09,1.5116496943079483e-09,1.1573474401060935e-09
2,seg_train/seg_train/buildings\1001.jpg,1.0,2.730562720376639e-10,1.3436353141216273e-09,1.99935944536489e-12,3.5600278280867315e-10,2.4932053643844654e-10,2.404903533259617e-12,3.6423559481024714e-12,7.895573843168247e-13,1.65697953947129e-13
3,seg_train/seg_train/buildings\10014.jpg,0.9999426603317261,1.0446888154547196e-06,3.775683808271424e-06,1.4758958855054516e-07,5.088513717055321e-05,1.4352133348438656e-06,9.688240210081744e-10,3.929235825594901e-10,6.583156797468348e-10,1.8817292168904487e-10
4,seg_train/seg_train/buildings\10018.jpg,0.9765535593032837,6.449067768699024e-07,3.464530664132326e-06,3.37075312017987e-06,0.02343875914812088,1.2242585967214836e-07,5.889479126608421e-09,2.3568040852239847e-09,1.2254798065214345e-08,6.1153238029021395e-09
5,seg_train/seg_train/buildings\10029.jpg,0.9999979734420776,1.568606080581958e-06,1.9092519210062164e-07,1.8866620266067002e-08,1.8261129497432194e-08,1.4105786760865158e-07,4.1828968067036953e-10,2.509775443026996e-10,8.434001275148262e-10,5.430713656551234e-10
6,seg_train/seg_train/buildings\10032.jpg,0.9999678134918213,2.6386169338366017e-06,8.013102501536196e-07,1.2892206768810865e-06,1.1653611181827728e-05,1.5760058886371553e-05,6.500880944670939e-10,3.6832087380034295e-10,1.4113501478618673e-09,1.404627525403157e-10
7,seg_train/seg_train/buildings\10056.jpg,1.0,3.872704379404013e-10,1.4654233382316306e-09,2.755099479719719e-13,9.174023762881234e-10,9.934839273950322e-14,3.6622639057633244e-13,1.0877229835153795e-13,7.03688246995321e-13,1.0503554135395804e-13
8,seg_train/seg_train/buildings\1009.jpg,1.0,2.88176177365429e-10,2.2954775580341646e-10,9.513218121245948e-14,5.6171074735988924e-11,3.7424914722805624e-08,6.698653784442676e-12,4.3241096467361295e-12,2.9414617443157542e-12,6.724377050191035e-14
9,seg_train/seg_train/buildings\10113.jpg,0.9999998807907104,8.202507117971436e-09,1.5673747100208857e-07,1.782754777135409e-10,2.0793131660923336e-09,3.1616979000170797e-12,7.708289844095273e-13,3.5834502682893787e-13,8.314816391831459e-13,4.135680513328577e-13
10,seg_train/seg_train/buildings\1012.jpg,0.935931921005249,7.330822313633689e-07,1.3134132132108789e-05,7.378056579909753e-06,2.640117145347176e-06,0.06404417753219604,1.0256069771230614e-08,9.638049469629095e-09,4.870947645230217e-09,1.0455136756348793e-09
11,seg_train/seg_train/buildings\10126.jpg,1.0,6.513395725549209e-12,4.09078456872769e-12,8.592497915439756e-13,3.3658414597126374e-12,4.715206259567773e-15,4.3464726582438315e-14,1.978161964745137e-13,1.8315317185514483e-14,2.957734358539736e-14
12,seg_train/seg_train/buildings\10144.jpg,1.0,2.8313943190028112e-08,2.7722011353148446e-08,2.9358356024022925e-11,1.4596155395452115e-09,3.161130246454036e-09,3.2580087933054e-11,1.649127188974031e-11,2.1617910586635425e-11,3.5924997785624635e-12
13,seg_train/seg_train/buildings\10151.jpg,0.9999998807907104,1.3187231218125817e-07,9.425675795426969e-10,2.8307174382291578e-09,9.490895180874759e-09,4.4410954913587375e-09,1.4162514216931044e-10,1.0464595162629209e-10,1.2780715374915985e-10,5.828314220135411e-11
14,seg_train/seg_train/buildings\10161.jpg,0.9999940395355225,1.3462633319250017e-07,3.09233018924715e-06,1.4778639645385283e-08,1.8838255755326827e-07,2.5282588467234746e-06,8.721863231642146e-10,5.541384573426456e-10,1.9773156723079666e-10,3.025246719801089e-11
15,seg_train/seg_train/buildings\10165.jpg,1.0,1.68308852965815e-10,8.36312616381285e-12,1.4872755804695714e-11,2.951691668862111e-11,2.741928212257605e-11,2.4101320982364283e-13,1.3804369702451885e-13,3.3022749031802467e-13,4.9283751450517055e-14
16,seg_train/seg_train/buildings\10176.jpg,1.0,3.372868928597228e-10,3.0455821198316357e-10,1.3047206544325451e-12,8.592096478743372e-11,3.364944781147905e-11,1.6933845818634108e-12,3.0506250737333263e-12,9.62602285208003e-13,1.2615352284941345e-13
17,seg_train/seg_train/buildings\10184.jpg,1.0,5.0835367165769085e-11,3.4949183304322506e-12,2.096579677988812e-14,1.4743083056462103e-12,3.570642655788443e-14,1.037932760572513e-12,1.2640135791351648e-13,3.1999359759171675e-13,1.2039192342702676e-13
18,seg_train/seg_train/buildings\10185.jpg,0.9999936819076538,4.946244871462113e-07,2.4280143406940624e-06,1.4172537587953116e-09,5.851410378454602e-08,3.480939312794362e-06,2.51024812047973e-10,2.5727930896835005e-10,1.0360068358750141e-10,2.2173774968936577e-11
19,seg_train/seg_train/buildings\10191.jpg,0.9991344809532166,3.5952459711552365e-06,0.00021485051547642797,5.711411859010695e-07,4.898416136711603e-06,0.0006416564574465156,2.455911252141618e-09,7.834456416944136e-10,6.754367620764867e-10,3.3461172721516164e-10
20,seg_train/seg_train/buildings\10196.jpg,0.9999878406524658,3.0106303938737256e-07,6.726205583618139e-07,2.0929338973019185e-07,1.998652976453741e-08,1.0893959370150696e-05,1.2397839699307411e-10,5.425251567436895e-11,5.652548915047184e-11,1.3213998471817145e-11
21,seg_train/seg_train/buildings\10198.jpg,0.9999992847442627,7.014674565652967e-07,4.6950187737593296e-08,2.4742650150955114e-09,4.662953401179948e-08,5.300705652189208e-08,1.6782179812491194e-10,1.0382400494890476e-10,1.8755184905128175e-10,4.115286930672646e-11
